,Jop Titles,Jop Locations,Company Name,Date
0,Business Development Sales,"Cairo, Egypt",MobiWeb,30+ days ago
1,Sales Executive,"Al Hadabah al Wusta, Cairo",bis real estate,2 days ago
2,HORECA & Catering Sales Executive (Cairo - Alex),"Cairo, Egypt",Metro Markets for Trading & Distribution,11 hours ago
3,Sales Executive,"Abbassia, Cairo",Teeba Saleh,7 days ago
4,Sales Representative Outdoor,"Cairo, Egypt",Innovation Stratiges,7 days ago
5,Senior Sales Executive,"New Cairo, Cairo",Miracle-on,2 days ago
6,Sales Representative,"Cairo, Egypt",Stop group,9 days ago
7,Dental Territory Sales Representative (Egypt),"Cairo, Egypt",Michael Page,15 days ago
8,Sales Specialist,"Cairo, Egypt",SKYLE INTERNATIONAL TRADING,11 days ago
9,Inside Sales Executive,"Cairo, Egypt",Bayt.com,14 days ago
10,Sales Support Administrator,"Giza, Cairo",سبيل سبورت جروب SSG,8 days ago
11,Technical Sales Engineer,"Nasr City, Cairo",Tma Cranes,9 days ago
12,Sales Supervisor,"Maadi, Cairo",5 continent,17 days ago
13,Sales Representative,"Al Mahallah al Kubra, Egypt",El emprator for glass,16 days ago
14,Sales Representative,Egypt,الرواد العرب لتوظيف المصريين بالخارج,22 days ago
15,Technical Sales Engineer,"Heliopolis, Cairo",Giga Systems,17 days ago
16,Area Sales Manager,"Sheraton El Salam, Cairo",fast medical,22 days ago
17,Sales Specialist,"Cairo, Egypt",El-Maaly Egypt,30+ days ago
18,Account Manager - International Sales Executive,"Nasr City, Cairo",Global Event Partners,30+ days ago
19,Technical Sales Engineer,"Cairo, Egypt",Egyelec Electric Systems,30+ days ago
